Date,City,State,Avg_List_Price,%Change_LP,Avg_Sale_Price,%Change_SP,HVI,%Change_HVI,Avg_Rent,%Change_Rent
2020-08-31,Nashville,TN,378267.0,0.89,320055.0,1.66,300714.0,0.44,1478.0,0.07
2020-08-31,Providence,RI,425789.0,1.51,323333.0,2.21,334829.0,0.97,1523.0,0.0
2020-08-31,Milwaukee,WI,259900.0,-1.27,229167.0,3.07,215241.0,0.94,1070.0,0.28
2020-08-31,Jacksonville,FL,319300.0,0.42,270667.0,1.12,242422.0,146.76,1352.0,1.27
2020-08-31,Jacksonville,FL,319300.0,0.42,270667.0,1.12,176587.0,-27.16,1352.0,1.27
2020-08-31,Jacksonville,FL,319300.0,0.42,270667.0,1.12,98124.0,-44.43,1352.0,1.27
2020-08-31,Memphis,TN,264267.0,1.48,218500.0,1.57,169268.0,0.91,1216.0,1.76
2020-08-31,Oklahoma City,OK,300452.0,0.46,208336.0,2.47,167137.0,0.65,1124.0,0.27
2020-08-31,Louisville-Jefferson County,KY,297265.0,-0.78,220333.0,2.8,190877.0,0.95,1107.0,0.0
2020-08-31,Hartford,CT,345036.0,1.93,252000.0,2.72,247383.0,1.05,1395.0,0.36
2020-08-31,Richmond,VA,383359.0,1.06,281814.0,0.95,261652.0,149.57,1325.0,0.38
2020-08-31,Richmond,VA,383359.0,1.06,281814.0,0.95,174489.0,-33.31,1325.0,0.38
2020-08-31,Richmond,VA,383359.0,1.06,281814.0,0.95,104864.0,-39.9,1325.0,0.38
2020-08-31,New Orleans,LA,293467.0,1.75,231000.0,1.91,215470.0,0.68,1244.0,-0.32
2020-08-31,Buffalo,NY,231743.0,-0.02,180450.0,1.95,182970.0,1.16,1069.0,0.94
2020-08-31,Raleigh,NC,383164.0,1.3,308333.0,1.43,293938.0,0.57,1393.0,0.36
2020-08-31,Birmingham,AL,282277.0,-0.04,227123.0,-0.47,187141.0,0.65,1134.0,0.44
2020-08-31,Salt Lake City,UT,499590.0,1.26,374667.0,2.18,410107.0,1.2,1315.0,0.23
2020-08-31,Rochester,NY,268596.0,-0.05,172550.0,3.58,168920.0,-31.46,1172.0,0.09
2020-08-31,Rochester,NY,268596.0,-0.05,172550.0,3.58,247352.0,46.43,1172.0,0.09
2020-08-31,Grand Rapids,MI,321633.0,0.01,233700.0,1.45,231761.0,1.19,1214.0,-0.49
2020-08-31,Tucson,AZ,329967.0,3.14,249667.0,2.18,234960.0,1.13,1237.0,1.31
2020-08-31,Urban Honolulu,HI,608333.0,0.05,610667.0,0.48,722691.0,0.12,2326.0,0.3
2020-08-31,Tulsa,OK,273294.0,1.72,200550.0,1.95,159113.0,0.8,1074.0,1.42
2020-08-31,Fresno,CA,387078.0,1.71,315424.0,1.06,284131.0,1.49,1581.0,1.28
2020-08-31,Worcester,MA,381897.0,0.93,318000.0,1.27,314507.0,1.1,1512.0,0.07
2020-08-31,Stamford,CT,798522.0,0.9,483500.0,4.8,429714.0,1.57,2245.0,0.36
2020-08-31,Albuquerque,NM,343360.0,2.49,244270.0,3.72,228150.0,0.82,1188.0,0.93
2020-08-31,Albany,NY,315098.0,1.9,215667.0,0.65,213183.0,-27.85,1233.0,0.33
2020-08-31,Albany,NY,315098.0,1.9,215667.0,0.65,112360.0,-47.29,1233.0,0.33
2020-08-31,Albany,NY,315098.0,1.9,215667.0,0.65,297405.0,164.69,1233.0,0.33
2020-08-31,Omaha,NE,332079.0,0.01,228302.0,1.44,213268.0,0.84,1077.0,0.47
2020-08-31,New Haven,CT,348550.0,1.01,252000.0,1.1,243914.0,1.2,1609.0,0.25
2020-08-31,Bakersfield,CA,289300.0,2.84,268500.0,1.9,245254.0,1.28,1393.0,2.13
2020-08-31,Knoxville,TN,341667.0,3.02,235333.0,1.44,208048.0,0.67,1259.0,1.7
2020-08-31,Greenville,SC,286425.0,0.65,232553.0,2.02,217244.0,50.77,1229.0,0.66
2020-08-31,Greenville,SC,286425.0,0.65,232553.0,2.02,144446.0,-33.51,1229.0,0.66
2020-08-31,Ventura,CA,858466.0,2.83,646000.0,2.65,633852.0,0.72,2484.0,0.77
2020-08-31,Allentown,PA,315476.0,2.36,228315.0,1.89,224852.0,1.09,1439.0,0.98
2020-08-31,El Paso,TX,211090.0,1.22,179548.0,2.48,142440.0,0.69,1132.0,0.62
2020-08-31,Baton Rouge,LA,264030.0,2.28,220467.0,1.76,192479.0,0.11,1208.0,0.75
2020-08-31,Dayton,OH,219981.0,-1.25,168050.0,3.65,146767.0,0.98,1074.0,0.56
2020-08-31,McAllen,TX,218600.0,1.71,168975.0,0.46,128144.0,0.81,922.0,0.66
2020-08-31,Columbia,SC,241923.0,1.06,205944.0,2.25,170300.0,-17.52,1153.0,-0.43
2020-08-31,Columbia,SC,241923.0,1.06,205944.0,2.25,207549.0,21.87,1153.0,-0.43
2020-08-31,Greensboro,NC,291663.0,1.98,194333.0,2.19,166533.0,0.68,1102.0,0.18
2020-08-31,Akron,OH,187333.0,1.65,164783.0,0.61,162845.0,0.83,985.0,0.51
2020-08-31,North Port-Sarasota-Bradenton,FL,380500.0,1.51,300717.0,2.27,290489.0,0.37,1653.0,0.49
2020-08-31,Little Rock,AR,205919.0,-0.74,186000.0,2.57,156636.0,0.7,998.0,0.5
2020-08-31,Stockton,CA,452227.0,2.92,447750.0,0.54,387747.0,0.78,2005.0,1.67
2020-08-31,Charleston,SC,396516.0,1.38,310433.0,4.12,287781.0,243.02,1457.0,0.28
2020-08-31,Charleston,SC,396516.0,1.38,310433.0,4.12,83438.0,-71.01,1457.0,0.28
2020-08-31,Syracuse,NY,188590.0,0.15,164667.0,3.95,156578.0,0.79,1155.0,1.23
2020-08-31,Colorado Springs,CO,488532.0,0.0,368574.0,1.84,343560.0,0.94,1514.0,0.87
2020-08-31,Winston-Salem,NC,306346.0,0.5,205500.0,2.92,167109.0,0.77,1281.0,1.34
2020-08-31,Wichita,KS,264367.0,1.31,177375.0,2.6,151093.0,0.5,844.0,0.6
2020-08-31,Springfield,MA,324087.0,1.96,243650.0,1.39,249402.0,102.03,1356.0,-1.31
2020-08-31,Springfield,MA,324087.0,1.96,243650.0,1.39,168574.0,-32.41,1356.0,-1.31
2020-08-31,Springfield,MA,324087.0,1.96,243650.0,1.39,125251.0,-25.7,1356.0,-1.31
2020-08-31,Fort Myers,FL,271774.0,0.71,248500.0,1.84,251654.0,0.6,1484.0,0.61
2020-08-31,Boise City,ID,421627.0,2.02,351648.0,3.44,341433.0,1.48,1378.0,1.03
2020-08-31,Toledo,OH,208233.0,4.06,141483.0,-1.96,133805.0,1.27,1043.0,-0.29
2020-08-31,Madison,WI,351300.0,-0.93,297667.0,1.13,298858.0,0.69,1230.0,0.0
2020-08-31,Lakeland,FL,247302.0,1.14,220100.0,1.46,201046.0,0.86,1375.0,0.88
2020-08-31,Ogden,UT,441208.0,1.69,331142.0,1.63,350021.0,1.06,1340.0,0.15
2020-08-31,Daytona Beach,FL,287833.0,0.82,243800.0,2.37,232052.0,0.35,1406.0,0.36
2020-08-31,Des Moines,IA,275637.0,-0.15,235000.0,2.58,215068.0,0.54,1099.0,0.73
2020-08-31,Provo,UT,460138.0,3.4,362750.0,3.37,391267.0,1.17,1380.0,0.07
2020-08-31,Durham,NC,416606.0,2.39,309500.0,2.17,283464.0,0.56,1361.0,0.22
2020-08-31,Fort Collins,CO,467715.0,0.44,408760.0,1.84,428184.0,0.23,1579.0,-0.75
2020-09-30,New York,NY,642633.0,2.12,454667.0,0.74,497110.0,0.92,2549.0,-2.15
